Round,Position,Tag,Name,Total Stars,Total Percentage,Bonus Awarded,Demerit,Attacks,Update
7,1,#Y2YQ8P0Q9,lunatic,21,601,6,0,7,18:01 09-Nov-2023
7,2,#2RYGYL9G,Podeido,21,585,6,0,7,18:01 09-Nov-2023
7,3,#Y282UQ80Q,Awkurtle,21,583,6,0,7,18:01 09-Nov-2023
7,4,#GC22C0G2,Raven,21,564,5,0,7,18:01 09-Nov-2023
7,5,#202PU202,Brian,20,637,3,0,7,18:01 09-Nov-2023
7,6,#QVYRJYG2U,poochitaaa,19,580,4,0,7,18:01 09-Nov-2023
7,7,#G0GGJC99V,niconicorobin,19,544,3,0,7,18:01 09-Nov-2023
7,8,#QCYYJ8LLJ,我外婆家GrannyHouse,19,477,7,0,7,18:01 09-Nov-2023
7,9,#QV0VGJ0J9,我啊妈家Grandmahaus,18,524,3,0,7,18:01 09-Nov-2023
7,10,#LQ9PGUU8,我啊公家Grandpahome,17,514,5,0,7,18:01 09-Nov-2023
7,11,#29J2GYLC,®️lunatic®️,15,558,0,1,7,18:01 09-Nov-2023
7,12,#RP99QCPG,Shinikigami,15,542,1,0,7,18:01 09-Nov-2023
7,13,#G8CCCG0Q9,woofwentdog,15,533,1,0,7,18:01 09-Nov-2023
7,14,#20VJ9V0UY,3Hours,15,527,3,0,7,18:01 09-Nov-2023
7,15,#QCP0PPYU,我家MYHOUSE,14,532,1,0,7,18:01 09-Nov-2023
7,16,#G82CYGJU8,harbourfront,14,503,4,0,7,18:01 09-Nov-2023
7,17,#QVQYQ2RQ8,tonytonychopper,14,491,4,0,7,18:01 09-Nov-2023
7,18,#9QJPVYC0,tengah,14,427,5,0,6,18:01 09-Nov-2023
7,19,#JV09YLLV,SacredX,12,531,0,0,7,18:01 09-Nov-2023
7,20,#8CJ9Y2RJU,RaveN,12,422,3,0,6,18:01 09-Nov-2023
7,21,#QVUU9G09P,bedok,12,402,4,0,6,18:01 09-Nov-2023
7,22,#G0ULGUUR2,Sacr3dX,11,382,2,0,6,18:01 09-Nov-2023
7,23,#QCJVJRUCJ,Mr. Tess,11,305,4,0,5,18:01 09-Nov-2023
7,24,#8PLG2LYJ0,Linlook,10,418,0,0,6,18:01 09-Nov-2023
7,25,#LL292PRC0,yishun,9,548,0,5,7,18:01 09-Nov-2023
7,26,#20CL2LQG,Lee Hsien Loong,9,310,2,1,4,18:01 09-Nov-2023
7,27,#982J0Q9J,✨MVP✨,9,292,1,0,5,18:01 09-Nov-2023
7,28,#U8VRJYUC,seasaurus,6,257,0,1,5,18:01 09-Nov-2023
7,29,#VJJJVGY2,ACAP,6,166,2,0,2,18:01 09-Nov-2023
7,30,#QQQJ8QCC9,Ghoul,3,100,0,0,1,18:01 09-Nov-2023
7,31,#GPU8RJ9G2,rookie,3,57,1,0,1,18:01 09-Nov-2023
7,32,#YVLLRJJV,Twinstar,0,0,0,0,0,18:01 09-Nov-2023
7,33,#JYVJCQCG,Unicorn,0,0,0,0,0,18:01 09-Nov-2023
7,34,#J8V0Q088,捐兵号,0,0,0,0,0,18:01 09-Nov-2023
7,35,#Q88UGCL29,Baconbanmi,0,0,0,0,0,18:01 09-Nov-2023
7,36,#G8QVLYYLL,JohnWeak,0,0,0,0,0,18:01 09-Nov-2023
7,37,#J9RQLJ0Q,BlackX,0,0,0,0,0,18:01 09-Nov-2023
7,38,#9UQGPRLYP,Halimah Yacob,0,0,0,0,0,18:01 09-Nov-2023
7,39,#G8QL2L22Q,Ryewff,0,0,0,0,0,18:01 09-Nov-2023
7,40,#G0RVVULRP,nutsiao,0,0,0,0,0,18:01 09-Nov-2023
7,41,#QC8VYYR90,Daros Diastima,0,0,0,0,0,18:01 09-Nov-2023
7,42,#G9PJ2URGP,raven,0,0,0,0,0,18:01 09-Nov-2023
