Round,Position,Tag,Name,Total Stars,Total Percentage,Bonus Awarded,Demerit
6,1,#QVYRJYG2U,poochitaaa,19,600,1,0
6,2,#2RYGYL9G,Podeido,19,597,2,0
6,3,#GC22C0G2,Raven,19,584,2,0
6,4,#20VJ9V0UY,3Hours,18,596,2,0
6,5,#Y282UQ80Q,Awkurtle,18,587,1,0
6,6,#8PLG2LYJ0,Linlook,18,523,5,0
6,7,#G8CCCG0Q9,woofwentdog,17,561,1,0
6,8,#Y2YQ8P0Q9,lunatic,17,522,3,0
6,9,#29J2GYLC,®️lunatic®️,16,588,0,1
6,10,#QCYYJ8LLJ,我外婆家GrannyHouse,14,483,1,0
6,11,#U8VRJYUC,seasaurus,14,458,2,0
6,12,#8CJ9Y2RJU,RaveN,14,453,1,0
6,13,#LQ9PGUU8,我啊公家Grandpahome,14,437,1,0
6,14,#G82CYGJU8,harbourfront,13,473,0,0
6,15,#9QJPVYC0,tengah,13,467,1,0
6,16,#QVQYQ2RQ8,tonytonychopper,13,424,1,0
6,17,#202PU202,Brian,12,443,0,0
6,18,#QCJVJRUCJ,Mr. Tess,12,406,2,0
6,19,#LL292PRC0,yishun,11,480,0,2
6,20,#QVUU9G09P,bedok,11,440,1,0
6,21,#JV09YLLV,SacredX,10,422,1,0
6,22,#G0GGJC99V,niconicorobin,10,416,0,1
6,23,#20CL2LQG,Lee Hsien Loong,10,394,0,1
6,24,#QCP0PPYU,我家MYHOUSE,10,389,2,0
6,25,#RP99QCPG,Shinikigami,10,351,1,0
6,26,#982J0Q9J,✨MVP✨,8,466,0,4
6,27,#J9RQLJ0Q,BlackX,5,318,0,1
6,28,#9UQGPRLYP,Halimah Yacob,4,218,0,0
6,29,#8LRJ2CCU8,pasirris,0,0,0,0
6,30,#VJJJVGY2,ACAP,0,0,0,0
6,31,#YVLLRJJV,Twinstar,0,0,0,0
6,32,#J8V0Q088,捐兵号,0,0,0,0
6,33,#JYVJCQCG,Unicorn,0,0,0,0
6,34,#QGYQP9P92,babu trix,0,0,0,0
6,35,#GPU8RJ9G2,rookie,0,0,0,0
6,36,#G0ULGUUR2,Sacr3dX,0,0,0,0
6,37,#QV0VGJ0J9,我啊妈家Grandmahaus,0,0,0,0
6,38,#Q88UGCL29,Baconbanmi,0,0,0,0
6,39,#8R2PCGU0,dffff,0,0,0,0
6,40,#G8QVLYYLL,JohnWeak,0,0,0,0
6,41,#QC8VYYR90,Daros Diastima,0,0,0,0
6,42,#G8QL2L22Q,Ryewff,0,0,0,0
6,43,#G8Q8C02PG,Podeado,0,0,0,0
6,44,#G0RVVULRP,nutsiao,0,0,0,0
6,45,#G0RRJ0YJQ,bhread,0,0,0,0
6,46,#G9PJ2URGP,raven,0,0,0,0
6,47,#LLCYYUYQ0,Galadon,0,0,0,0
