Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,2,86,#PC2GGCJ9J,1,#PC2GGCJ9J,hendrayana88,14
2,#Y2YQ8P0Q9,lunatic,15,3,100,#PVGGC9UR0,2,#PVGGC9UR0,hendrayana08,14
3,#GC22C0G2,Raven,14,2,93,#YP8CCCPYP,3,#YP8CCCPYP,shandi sandoroo,13
4,#202PU202,Brian,14,3,100,#L2LLJ0U9P,4,#L2LLJ0U9P,hendrayana,13
8,#LL292PRC0,yishun,15,3,100,#LQ88V90C0,5,#LQ88V90C0,Raju$,12
9,#20VJ9V0UY,3Hours,13,3,100,#QRPYL8888,6,#QRPYL8888,Vladimir Putin,12
10,#RP99QCPG,Shinikigami,13,3,100,#8QJ2J9YRL,7,#8QJ2J9YRL,Hell Billy,12
11,#QCP0PPYU,我家MYHOUSE,13,3,100,#202GJ282G,8,#202GJ282G,Mr.Bean,12
12,#JV09YLLV,SacredX,13,3,100,#G0YR9YLUV,9,#G0YR9YLUV,WIS MANGAN,12
14,#2RYGYL9G,Podeido,12,3,100,#YPU9J8VU8,10,#YPU9J8VU8,Lempod,12
15,#QCJVJRUCJ,Mr. Tess,12,2,81,#QCCG99GRL,11,#QCCG99GRL,MANGAN DURUNG,12
16,#G82CYGJU8,harbourfront,12,3,100,#G0RQRYQYJ,12,#G0RQRYQYJ,GEBLOG,11
17,#9QJPVYC0,tengah,12,3,100,#Q28CCC9RQ,13,#Q28CCC9RQ,oval club,11
20,#8CJ9Y2RJU,RaveN,12,3,100,#9URRU0U92,14,#9URRU0U92,YUVI,11
21,#G8CCCG0Q9,woofwentdog,12,3,100,#QVCLCRQ92,15,#QVCLCRQ92,KOMAR,11
