Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,15,0,0,,1,#Y9VL28880,>ingko<,15
2,#Y2YQ8P0Q9,lunatic,14,3,100,#CV9YJP8C,2,#CV9YJP8C,Ⓥⓗⓔⓝ,15
3,#GC22C0G2,Raven,14,3,100,#2UGYL9G0Y,3,#2UGYL9G0Y,~°sky-H•I•G•H°~,15
4,#202PU202,Brian,14,3,100,#L8J00GJ2J,4,#L8J00GJ2J,ᴅᴀᴢᴀɪ.,14
5,#29J2GYLC,®️lunatic®️,15,3,100,#PJ0LGYV09,5,#PJ0LGYV09,VanJoseph,14
7,#982J0Q9J,✨MVP✨,14,2,73,#LCRLQ0URY,6,#LCRLQ0URY,GenesisTorralba,14
8,#20VJ9V0UY,3Hours,13,1,73,#802Q2GRP2,7,#802Q2GRP2,QuirosQT,13
9,#LL292PRC0,yishun,15,3,100,#L8VLRLQG2,8,#L8VLRLQG2,Uchiha Setsuna,14
10,#QCP0PPYU,我家MYHOUSE,13,2,87,#2CPGG2GL0,9,#2CPGG2GL0,Ⓥⓗⓔⓝ,14
12,#RP99QCPG,Shinikigami,13,2,85,#99LGRQPJ2,10,#99LGRQPJ2,Dooooooomo,13
13,#JV09YLLV,SacredX,13,1,75,#8Q2LL9VRG,11,#8Q2LL9VRG,ArtTheGreat,13
14,#2RYGYL9G,Podeido,12,3,100,#Q90V09V8P,13,#Q90V09V8P,DreadPhantom,13
15,#QCJVJRUCJ,Mr. Tess,12,1,51,#QJJQCR2VG,14,#QJJQCR2VG,Ⓥⓗⓔⓝ,14
16,#G82CYGJU8,harbourfront,12,1,61,#QCJ202YCR,15,#QCJ202YCR,Rexelltoms,13
17,#9QJPVYC0,tengah,12,2,92,#8YQQ0QY22,16,#8YQQ0QY22,YuRi✔,13
18,#8CJ9Y2RJU,RaveN,12,2,88,#98P8L08C2,17,#98P8L08C2,RAFFY11,12
19,#LQ9PGUU8,我啊公家Grandpahome,12,3,100,#G20VRGJPQ,19,#YRCLQJP8C,Your_MomenTs,12
21,#QVQYQ2RQ8,tonytonychopper,12,1,75,#80GRLY99V,20,#80GRLY99V,.:*D3$TROY3R*:.,12
23,#G0GGJC99V,niconicorobin,12,2,81,#QYJCLU2V2,21,#QYJCLU2V2,Kylee,12
24,#QQQJ8QCC9,Ghoul,13,3,100,#G90VP8UYJ,22,#QCG809289,GenesisT3.0,14
25,#G8CCCG0Q9,woofwentdog,12,2,85,#G0GJG8GG8,24,#G0GJG8GG8,Dazaiii,12
26,#U8VRJYUC,seasaurus,12,1,55,#QPVV09VQU,26,#QPVV09VQU,GenesisT2.0,12
27,#G8QL2L22Q,Ryewff,12,0,0,,27,#QGULPC9CJ,Dazaiiiii,12
28,#QVUU9G09P,bedok,11,2,95,#G0YPV00JJ,28,#G0YPV00JJ,Jurence,12
30,#QCYYJ8LLJ,我外婆家GrannyHouse,11,3,100,#UQQ29VPV,29,#G20VRGJPQ,QuirosQ†,12
31,#Y282UQ80Q,Awkurtle,11,3,100,#8J0GUJYYU,30,#8J0GUJYYU,♣YhOnTeRpEtS♣,12
33,#QVYRJYG2U,poochitaaa,11,3,100,#UQQ29VPV,31,#UQQ29VPV,ʂԋυƚԃσɯɳ,12
34,#G0ULGUUR2,Sacr3dX,11,1,57,#290QJL82J,33,#290QJL82J,ᴛᴇʀᴄɪᴇʟ.,11
35,#QV0VGJ0J9,我啊妈家Grandmahaus,11,3,100,#G08GVL0CC,34,#G08GVL0CC,✨the nigh,12
37,#GPU8RJ9G2,rookie,10,2,57,#G90VP8UYJ,41,#G90VP8UYJ,Leng,11
