Position,Tag,Name,Townhall,Stars,Percentage,Opponent,Position,Tag,Name,Townhall
1,#8PLG2LYJ0,Linlook,14,2,89,#UGCVJPGV,1,#UGCVJPGV,Fishlegs,15
2,#Y2YQ8P0Q9,lunatic,14,0,49,#CUVYVC8L,2,#CUVYVC8L,lich king,14
3,#GC22C0G2,Raven,14,3,100,#G082RJR8R,3,#G082RJR8R,Nirbhay,14
4,#202PU202,Brian,14,2,64,#8U2CU28G8,4,#8U2CU28G8,REAL@@FIGHTER$$,14
5,#8LRJ2CCU8,pasirris,14,0,0,,5,#P8RUCLVRU,Jayhawk,13
6,#29J2GYLC,®️lunatic®️,15,3,100,#9VPQLCJGG,6,#9VPQLCJGG,PacknLipz,14
7,#20CL2LQG,Lee Hsien Loong,14,2,94,#Q8QR8VCV0,7,#Q8QR8VCV0,VENDETTA... 0,13
8,#982J0Q9J,✨MVP✨,14,2,74,#929292G2C,8,#929292G2C,SIVAJI 24,13
9,#20VJ9V0UY,3Hours,13,3,100,#29GPQ222R,9,#29GPQ222R,a$$a$$1nator,13
11,#QCP0PPYU,我家MYHOUSE,13,2,93,#QJCQVLRYY,10,#QJCQVLRYY,Lil Legend,14
13,#LL292PRC0,yishun,14,2,81,#QQ2890JU,11,#QQ2890JU,Ghost丶,12
14,#JV09YLLV,SacredX,12,3,100,#L8PURRGQU,12,#L8PURRGQU,Austin2,12
15,#RP99QCPG,Shinikigami,12,2,87,#QGULR8J8Q,13,#QGULR8J8Q,mako wako,12
16,#2RYGYL9G,Podeido,12,3,100,#8CPG220J,14,#8CPG220J,wilker,12
17,#QCJVJRUCJ,Mr. Tess,12,2,83,#Q00VJ0RQG,15,#Q00VJ0RQG,payton,12
18,#G82CYGJU8,harbourfront,12,1,73,#UYPCC22C,16,#UYPCC22C,Boy,12
20,#9QJPVYC0,tengah,12,3,100,#QRCPRPYY0,17,#QRCPRPYY0,ElKing,12
21,#8CJ9Y2RJU,RaveN,12,2,87,#LPV0GYPVQ,18,#LPV0GYPVQ,Ross,12
23,#LQ9PGUU8,我啊公家Grandpahome,12,3,100,#GPCR0Q82U,19,#GPCR0Q82U,Ss120,12
24,#G0GGJC99V,niconicorobin,12,3,100,#LVLLLYV2G,20,#LVLLLYV2G,athish,12
25,#G8QL2L22Q,Ryewff,12,0,0,,21,#228V0UV2,Carnage,11
26,#QVQYQ2RQ8,tonytonychopper,11,2,71,#LRGUV20GV,22,#LRGUV20GV,SilverSummer,11
27,#U8VRJYUC,seasaurus,11,2,82,#QQVUCY0CP,23,#QQVUCY0CP,broken_boy_K5,11
28,#G8CCCG0Q9,woofwentdog,11,3,100,#QVPVLVVV9,24,#QVPVLVVV9,KFCForU,11
29,#QCYYJ8LLJ,我外婆家GrannyHouse,11,3,100,#L0UGUCPGQ,25,#L0UGUCPGQ,jayce,11
30,#QVUU9G09P,bedok,11,3,100,#QCLQ2P00P,26,#QCLQ2P00P,mikasa,10
31,#Y282UQ80Q,Awkurtle,11,3,100,#8VLRVYJPQ,27,#8VLRVYJPQ,het,10
32,#QVYRJYG2U,poochitaaa,11,3,100,#G2PYLJLYY,28,#G2PYLJLYY,ashiq,10
36,#9UQGPRLYP,Halimah Yacob,10,3,100,#G2ULVQC20,29,#CCV08Y8P,Arvima,10
38,#J9RQLJ0Q,BlackX,10,0,32,#G2ULVQC20,30,#G2ULVQC20,Sanjay,9
